Address,Latitude,Longitude
"414 Light Street, Baltimore",39.28383,-76.61347
"East Lee Street, Baltimore",39.28218,-76.61287
"101 Key Highway, Baltimore",39.28041,-76.61204
"414 Key Highway, Baltimore",39.28099,-76.60742
"1300 Jackson Street, Baltimore",39.27519,-76.60568
"1420 Key Highway, Baltimore",39.27286,-76.60114
"East Fort Avenue, Baltimore",39.27254,-76.61612
"1106 East Fort Avenue, Baltimore",39.2708489,-76.5985073
"1425 East Fort Avenue, Baltimore",39.2691424,-76.5947207
"1646 East Fort Avenue, Baltimore",39.2682779,-76.591143
"2310 East Fort Avenue, Baltimore",39.2658282,-76.5840384
"1600 East Fort Avenue, Baltimore",39.2686552,-76.592181
"1100 East Fort Avenue, Baltimore",39.2709517,-76.5986134
"919 East Fort Avenue, Baltimore",39.2714049,-76.6011907
"1415 Key Highway, Baltimore",39.2737223,-76.6021352
"1276 Harbor Island Walk, Baltimore",39.2754183,-76.6051027
"1121 E Key Hwy, Baltimore",39.2773833,-76.6062337
"West Shore Promenade, Baltimore",39.2808021,-76.6101008
"South Charles Street, Baltimore",39.2868694,-76.6149164
"Light Street, Baltimore",39.2876535,-76.6136173
"414 Light Street, Baltimore",39.283756,-76.6139857